,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
7979,kama90,2012-01-29 13:57:09+00:00,en,0,Twitter for Android,Back from 24 hours of #TwitterBlackout. Let's get going now.
7980,JoshsDimples,2012-01-29 13:57:05+00:00,en,0,Twitter Web Client,"Morning, Twitter. You made us proud. #TwitterBlackout"
7981,ahhhlexmoore,2012-01-29 13:54:22+00:00,en,0,Twitter for iPhone,"I lost 9 followers doing the #TwitterBlackout :|

But I actually didn't tweet for 24 hours !!!!"
7982,_Simon_Says__,2012-01-29 13:54:21+00:00,en,0,Plume for Android,I completed my #TwitterBlackout yesterday. I'm proud of myself.
7983,HAEMONRICH,2012-01-29 13:53:48+00:00,en,0,Twitter for iPhone,I see y'all were tweeting during the #TwitterBlackout
7984,cubishgrande,2012-01-29 13:53:26+00:00,en,0,Twitter for Android,Back from the #twitterblackout what did I miss
7985,huisengkin,2012-01-29 13:53:10+00:00,en,0,Twitter Web Client,twitter... please respect us (your users) or face serious consequences: we will stop using your service. #TwitterBlackout
7986,tim_muangkeo,2012-01-29 13:51:40+00:00,en,0,Echofon,#twitterblackout is over lets start tweeting
7987,heathen_king,2012-01-29 13:51:03+00:00,en,0,TweetDeck,"Other people are like ""There was a #TwitterBlackout ?"" #fail"
7988,LGwenn,2012-01-29 13:48:22+00:00,en,0,Twitter Web Client,I'm back from #TwitterBlackout Whattimiss?
7989,LucyAnnRidley,2012-01-29 13:45:53+00:00,en,0,Twitter Web Client,I dedicated well to #TwitterBlackout yesterday!
7990,notaaveragejoe,2012-01-29 13:44:58+00:00,en,0,Twitter for Android,Morning All!  One of few who tried to observe #twitterblackout oh well
7991,heathen_king,2012-01-29 13:44:53+00:00,en,0,TweetDeck,"Now waiting for my ""I survived the #TwitterBlackout "" t-shirt"
7992,Magical_Cookiee,2012-01-29 13:44:30+00:00,en,0,Twitter Web Client,@ms_tumbleweed06 yeah it was supposed to be a #TwitterBlackout yesterday but it completely failed -_-
7993,EndlessWeekend,2012-01-29 13:44:30+00:00,en,1,Twitter for Websites,How to easily circumvent Twitter’s censorship http://t.co/xeNaW5hU via @msnbc_tech #twitterblackout #j28 #censored
7994,TheRealQuintis,2012-01-29 13:42:07+00:00,en,0,Twitter for iPhone,"Back form #TwitterBlackOut , went all day, was on skidoo so that helped:p off to bed now been up 22hours and worked #Exhausted #Sore"
7995,StevenBayShore,2012-01-29 13:42:00+00:00,en,0,Twitter for iPhone,“@Beau_Hailey: If you doing #TwitterbLackout you a bumb... Lmao” I saved this gem from yesterday. Is YOU a bumb?
7996,vjack,2012-01-29 13:41:55+00:00,en,0,Twitter for Mac,Participated in the #twitterblackout yesterday but I'm back now.
7997,Abouart,2012-01-29 13:39:31+00:00,en,0,Twitter for iPad,@twitter voice of freedom corrupted #twitterblackout
7998,RocknRollr9,2012-01-29 13:38:31+00:00,en,0,Twitter for iPhone,I survived the #twitterblackout!
7999,kiki2013,2012-01-29 13:34:40+00:00,en,0,Hootsuite,"@wyethwire not a lot of traffic. #twitterblackout hangover, maybe? #uppers"
8000,TLaTela,2012-01-29 13:31:18+00:00,en,0,Twitter Web Client,#TwitterBlackout Complete. Good Morning
8001,ToddHellsKitch,2012-01-29 13:31:16+00:00,en,0,Twitter Web Client,"So, the #TwitterBlackout is over??? Was it effective? ... Prolly not..."
8002,NandyAditya,2012-01-29 13:30:11+00:00,en,0,Twitter Web Client,I'm in #TwitterBlackout !
8003,goudsward,2012-01-29 13:28:57+00:00,en,0,Twitter Web Client,Twitter should worry how easy it is to shut off / ignore. 24 hours *this* time. Next time how many will forget to return?  #TwitterBlackout
8004,samdownie,2012-01-29 13:28:11+00:00,en,0,Twitter for Mac,"so after the #twitterblackout on Saturday, I return back to tweeting. Hope you had a good Saturday anyway?"
8005,4RonPaul2012,2012-01-29 13:23:17+00:00,en,0,Twitter Web Client,Okay we're back!! What did we miss? #TwitterBlackout
8006,Gromulan,2012-01-29 13:23:13+00:00,en,0,Twitter for iPhone,I took part in the #twitterblackout because I'm not one of these pathetic Tweeterheads that can't go an hour without talking w/ their thumbs
8007,anthooneed,2012-01-29 13:21:09+00:00,en,0,Twitter for BlackBerry®,#TwitterBlackOut off apoye full
8008,ckaratnytsky,2012-01-29 13:19:16+00:00,en,0,Twitter Web Client,Greetings.  Welcome to the free for all.  I recommend:  #Tahrir #Maspero #Syria #Bahrain #TwitterBlackOut #OWS @johnrobinson @PhilipMeyer4
8009,ZacBauman,2012-01-29 13:18:40+00:00,en,0,Twitter for iPad,Well I took the day off tweeting doesn't look like many others did #twitterblackout
8010,chrischuy,2012-01-29 13:18:23+00:00,en,0,Twitter for BlackBerry®,#TwitterBlackout accomplished...
8011,MaggieVeri,2012-01-29 13:15:12+00:00,en,0,Twitter for BlackBerry®,I succesfully participated on #TwitterBlackOut :) reason why I'm up since 5:30 is 'cause my parents wanted us to go to church @ 6!
8012,ishmauro,2012-01-29 13:13:07+00:00,en,0,Twitter Web Client,really glad twitter was available to help organize the #twitterblackout
8013,AlexISgeregova,2012-01-29 13:12:53+00:00,en,0,Twitter Web Client,"Sipping coffee, getting ready for the day & How was that #TwitterBlackout ?  #Breakfasttweet"
8014,sk_roberts,2012-01-29 13:12:43+00:00,en,0,Twitter for Android,Yes! RT @hollymcglynn: Did anyone else do #twitterblackout yesterday?
8015,DaveHughesRFPB,2012-01-29 13:11:09+00:00,en,0,Twitter for Android,Quite confused as to why some politically minded folk went along with #twitterblackout but didn't black out their website against SOPA.
8016,TheJorgeCox,2012-01-29 13:10:27+00:00,en,0,Twitter Web Client,I took part in the #twitterblackout yesterday! That is why i didn't tweet! I AM BACK! LETS BEAT CENSORING THE INTERNET!
8017,mzzingu,2012-01-29 13:08:17+00:00,en,0,Echofon,So what did you do on International Productivity Day? #twitterblackout
8018,LaurenRandall88,2012-01-29 13:07:29+00:00,en,0,Twitter for iPhone,Yay I can tweet again #TwitterBlackout
8019,Haushinkadaz,2012-01-29 13:07:19+00:00,en,0,Twitter for iPhone,#twitterblackout... Is this @SeanSmithSucks 's new project? Playing a gig via twitter text?
8020,stephenpglenn,2012-01-29 13:07:02+00:00,en,0,TweetDeck,24 Hour delayed Tweet due to #TwitterBlackout....Nice GOAL LIverpool #LFC #FACup
8021,OmarRighi,2012-01-29 13:05:24+00:00,en,0,Twitter for iPad,"#TwitterBlackout 

Mission accomplished!"
8022,ConserveExplore,2012-01-29 13:04:18+00:00,en,0,Twitter for iPhone,How did the #twitterblackout go?
8023,WiltDaCEO,2012-01-29 13:03:02+00:00,en,0,Twitter for iPad,"Ok, we're gona start this off with tweets that should've went thru yesterday but didn't thanks 2 the #TwitterBlackout #J28 #FuckTwitter 😷"
8024,AbsoIuteBanana,2012-01-29 13:02:25+00:00,en,0,Twitter Web Client,I guess it is true - everyone's conscience can be bought for the right price. #twitterblackout #twittercensorship
8025,tkfjsrks,2012-01-29 13:01:01+00:00,en,0,twtkr for iPad,#twitterblackout  RT @love_giger: (cont) http://t.co/z7cJ9nqD
8026,cargun,2012-01-29 13:00:23+00:00,en,0,IFTTT,"We will not tweet on Sunday January 29th. #TwitterCensored #TwitterBlackout #censorship @Twitter January 29, 2012... http://t.co/dvxbIuVo"
8027,M_akbik,2012-01-29 12:58:42+00:00,en,0,Twitter Web Client,"I was with #TwitterBlackout but #Damascus is boiling with events! Airport road is blocked, some say clashes b/t FSA &Assad's forces. #Syria"
8028,purple_keewee,2012-01-29 12:56:18+00:00,en,0,Twitter Web Client,#Twitter suicidal...country specific #cencorship of tweets #TwitterBlackout
8029,thomasmcilroy,2012-01-29 12:55:46+00:00,en,1,Twitter Web Client,"Here's my YA blog from yesterday, didn't post it on Twitter yesterday because of the #TwitterBlackout. http://t.co/uDZdPi8Z"
8030,brobof,2012-01-29 12:53:58+00:00,en,0,Twitter Web Client,breaks #twitterBlackOut silence MT @timrote Flying Great White http://t.co/Mz9KXZbT #sharks Adds no lasers :( v/ @Thomas__J_ #twitterWhiteIn
8031,linds_jaebker,2012-01-29 12:53:23+00:00,en,0,Plume for Android,Successfully survived #twitterblackout.
8032,Joe_Jack7,2012-01-29 12:51:19+00:00,en,0,Twitter for iPhone,I take it #twitterblackout is over
8033,prduguid,2012-01-29 12:50:52+00:00,en,0,Tweets60dm,Quite clever of twitter RT @Glinner Twitter's brilliant move. #twitterblackout  http://t.co/5vXczCt
8034,Jenny78Germany,2012-01-29 12:50:16+00:00,en,0,Twitter for iPhone,Back again. Survived #twitterBlackout. Just back from work.now taking a little kip.
8035,BEC456_,2012-01-29 12:45:54+00:00,en,0,Twitter for iPhone,@QueenzOfMedia @shusha59 @shortytlk @manzillakilla @aen1025 snap. Was v/quiet around here. Clearly I didnot read the memo #TwitterBlackout
8036,nikkimcwilliams,2012-01-29 12:44:14+00:00,en,0,Twitter Web Client,Hey pals! I'm back after supporting #twitterblackout yesterday- hope everyone's having a good weekend so far!
8037,documartin,2012-01-29 12:41:58+00:00,en,0,TweetDeck,"This should be the last word on #twitterblackout, sorry guys you got this one wrong big time. http://t.co/pLkctiVj via @Glinner"
8038,LynnJBroderick,2012-01-29 12:41:14+00:00,en,0,Twitter Web Client,"When Twitter Blocks Tweets, It’s #Outrage (@NYTimes) http://t.co/l8BrOsLI ""A coming-of-age moment"" #TwitterBlackout ~via @SteveCase"
8039,Ciouli,2012-01-29 12:39:39+00:00,en,0,Twitter Web Client,My #Twitterblackout is over...Let's roll again...
8040,CJSGarciaA,2012-01-29 12:38:35+00:00,en,0,Twitter for iPhone,"#TwitterBlackout if this happens, other systems will come, hopefully + simple in nature which will allow more independence from owners of $"
8041,divinity_pr,2012-01-29 12:37:46+00:00,en,0,UberSocial for BlackBerry,Well I'm back. Yesterday was #TwitterBlackout due to the new twitter censor rule..so no a single twit from me!
8042,the_cats_mum_,2012-01-29 12:36:58+00:00,en,0,Mobile Web,"In observance of #TwitterBlackout I didn't give @rickytowie his ""shoutout"" yesterday, so here you are @rickytowie! #TOWIEatTENtonight"
8043,CJSGarciaA,2012-01-29 12:35:49+00:00,en,0,Twitter for iPhone,"#TwitterBlackout I am not saying I agree with it, all am saying is that a system like this costs $ and the owner If $ has the last word"
8044,Danilynn40,2012-01-29 12:35:35+00:00,en,0,Twitter for iPad,“@TheMadApe: I uploaded a @YouTube video http://t.co/lHWKJP2M Proof that Planet X is real”. He's back!  #twitterblackout is officially over!
8045,NUNO_ROOT,2012-01-29 12:34:25+00:00,en,0,twtkr for iPad,"RT @gaemon: FYI, i was getting sick of this twitter business since long ago. you can safely unfollow me now. #twitterblackout"
8046,CJSGarciaA,2012-01-29 12:33:02+00:00,en,0,Twitter for iPhone,"#TwitterBlackout frankly speaking, it is their system. If they want to shut it off, it is their right. Unless any twitter user paid $"
